City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
542,Bujaru,BR,78.8,scattered clouds,-1.515,-48.0447,Hotel & Restaurante Beira Rio
543,Puerto Escondido,MX,82.4,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
545,Natal,BR,80.6,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
551,Kwinana,AU,82.99,clear sky,-32.25,115.7667,Rockingham Apartments
557,Singaraja,ID,84.07,scattered clouds,-8.112,115.0882,Puri Bagus Lovina Resort
559,Pilar,BR,78.8,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
563,Axim,GH,79.2,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
564,Namatanai,PG,86.29,overcast clouds,-3.6667,152.4333,Namatanai Hotel
566,Formosa,AR,82.4,overcast clouds,-26.1775,-58.1781,Hotel Portal del Sol
570,Totness,SR,76.42,scattered clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
571,Jalu,LY,76.17,overcast clouds,29.0331,21.5482,صاحبة الفخامة
573,Pointe-Noire,CG,77.0,moderate rain,-4.7761,11.8635,Kactus Lodge
574,Bowen,AU,80.6,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
578,Sharjah,AE,75.2,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
580,The Valley,AI,77.0,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
581,Viesca,MX,78.8,clear sky,25.35,-102.8,LA VIEZCA (Parque Magico)
584,Kalianget,ID,82.0,broken clouds,-7.05,113.9333,Pesanggrahan Garam
586,Trairi,BR,76.33,clear sky,-3.2778,-39.2689,janelas do mar
587,Sampit,ID,83.14,scattered clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
589,Bintulu,MY,77.0,few clouds,3.1667,113.0333,900 Boutique INN
591,Conceicao Do Araguaia,BR,80.6,few clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
596,Meulaboh,ID,77.68,overcast clouds,4.1363,96.1285,Kost Pria
606,Quatre Cocos,MU,80.01,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
615,Noumea,NC,84.2,clear sky,-22.2763,166.4572,Hôtel Le Lagon
618,Kalmunai,LK,77.7,broken clouds,7.4167,81.8167,VS Villa
629,Jaisalmer,IN,75.9,scattered clouds,26.9147,70.9181,Hotel Fifu
630,Santo Angelo,BR,78.8,clear sky,-28.2992,-54.2631,Hotel Nova Esperança Aberto 24h
636,Iralaya,HN,80.6,broken clouds,15.0,-83.2333,Iglesia morava renovada
637,Kulhudhuffushi,MV,83.25,broken clouds,6.6221,73.07,Haajy Guest House 1
640,Pozo Colorado,PY,77.67,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
641,Negara,ID,82.22,clear sky,-8.3151,114.6025,Villa Maya West Bali
647,Gold Coast,AU,79.0,heavy intensity rain,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
652,Bridgetown,BB,78.8,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
