City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
67,Sao Felix Do Xingu,100,BR,2021-03-19 22:52:42,99,-6.6447,-51.995,70.21,1.12
68,Mashpee,1,US,2021-03-19 22:52:42,47,41.6484,-70.4811,36.0,11.5
69,Oxford,20,GB,2021-03-19 22:48:25,93,51.7522,-1.256,42.01,2.3
70,Punta Arenas,40,CL,2021-03-19 22:51:01,62,-53.15,-70.9167,50.0,39.12
71,Lagoa,97,PT,2021-03-19 22:52:42,84,39.05,-27.9833,58.87,17.9
72,Bengkulu,100,ID,2021-03-19 22:46:30,88,-3.8004,102.2655,75.87,3.71
73,Araouane,0,ML,2021-03-19 22:52:43,9,18.9048,-3.5265,74.8,5.01
74,Port Elizabeth,75,ZA,2021-03-19 22:51:06,68,-33.918,25.5701,68.0,8.05
75,Pevek,100,RU,2021-03-19 22:51:30,88,69.7008,170.3133,-15.32,1.14
76,Georgetown,20,MY,2021-03-19 22:50:53,64,5.4112,100.3354,78.8,3.44
77,Havelock,92,US,2021-03-19 22:52:43,60,34.8791,-76.9013,44.01,11.01
78,Kavieng,61,PG,2021-03-19 22:51:23,69,-2.5744,150.7967,84.81,9.31
79,Cockburn Town,40,TC,2021-03-19 22:49:11,69,21.4612,-71.1419,77.0,10.36
80,Bethel,1,US,2021-03-19 22:51:03,17,41.3712,-73.414,42.8,12.66
81,Salalah,0,OM,2021-03-19 22:50:55,46,17.0151,54.0924,75.2,1.14
82,Seoul,90,KR,2021-03-19 22:48:12,47,37.5683,126.9778,53.6,6.91
83,Bathsheba,20,BB,2021-03-19 22:51:03,57,13.2167,-59.5167,78.8,13.8
84,Nishihara,20,JP,2021-03-19 22:46:39,88,26.1842,127.7558,71.6,3.44
85,Tiksi,100,RU,2021-03-19 22:51:49,93,71.6872,128.8694,-21.14,10.8
86,Susanville,90,US,2021-03-19 22:52:44,53,40.4163,-120.653,48.0,13.8
87,Podor,0,MR,2021-03-19 22:52:44,28,16.6527,-14.9587,84.2,2.3
88,Sechura,36,PE,2021-03-19 22:52:45,53,-5.5569,-80.8222,83.62,15.26
89,Blackwater,74,AU,2021-03-19 22:52:45,71,-23.5833,148.8833,78.66,10.47
90,San Marcos,20,US,2021-03-19 22:52:45,72,33.1434,-117.1661,69.01,10.36
91,Vaini,40,TO,2021-03-19 22:46:28,79,-21.2,-175.2,84.2,9.22
92,Innisfail,99,AU,2021-03-19 22:52:46,80,-17.5333,146.0333,79.99,4.7
93,Aljezur,43,PT,2021-03-19 22:52:46,75,37.3191,-8.8033,51.6,9.28
94,Sur,0,OM,2021-03-19 22:52:46,36,22.5667,59.5289,80.47,9.78
95,Erenhot,39,CN,2021-03-19 22:52:46,70,43.6475,111.9767,24.75,21.34
96,Cidreira,62,BR,2021-03-19 22:52:18,73,-30.1811,-50.2056,74.62,16.35
97,Vestmannaeyjar,98,IS,2021-03-19 22:50:43,78,63.4427,-20.2734,41.94,22.03
